refdes;partname;type;Applications;Availability;Built_By;Capacitance;Check_prices;ComponentLink1Description;ComponentLink1URL;ComponentLink2Description;ComponentLink2URL;Composition;Copyright;Datasheet;Device_Package;Digikey_Link;ESR_(Equivalent_Series_Resistance);Features;Height_-_Seated_(Max);LastUpdated;LatestRevisionDate;LatestRevisionNote;Lifecycle_Status;Lifetime_@_Temp.;MF;MP;Manufacturer;Manufacturer_Part_Number;Manufacturer_Size_Code;Minimum_Order;Mounting_Type;Number_of_Terminations;Operating_Temperature;Package;Package_/_Case;Packaging;PartId;Part_Number;Part_Status;Power_(Watts);Price;Publisher;Purchase-URL;RefDes;Resistance;Series;Size_/_Dimension;SnapEDA_Link;SourceLibrary;Supplier_1;Supplier_Device_Package;Supplier_Part_Number_1;Temperature_Coefficient;Thickness_(Max);Tolerance;Type;Value;Vendor;Voltage_-_Rated
C1;20pF;C;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; CC0603JRNPO0BN200;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 20pF;  ;  
C10;0.1_F;C;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6R3X14W104MV4T;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0.1µF;  ;  
C11;0.1_F;C;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6R3X14W104MV4T;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0.1µF;  ;  
C12;0.1_F;C;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6R3X14W104MV4T;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0.1µF;  ;  
C13;0.1_F;C;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6R3X14W104MV4T;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0.1µF;  ;  
C17;0.1_F;C;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6R3X14W104MV4T;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0.1µF;  ;  
C18;0.1_F;C;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6R3X14W104MV4T;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0.1µF;  ;  
C2;20pF;C;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; CC0603JRNPO0BN200;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 20pF;  ;  
C20;0.1_F;C;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6R3X14W104MV4T;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0.1µF;  ;  
C23;0.1_F;C;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6R3X14W104MV4T;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0.1µF;  ;  
C24;0.1_F;C;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6R3X14W104MV4T;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0.1µF;  ;  
C25;0.1_F;C;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6R3X14W104MV4T;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0.1µF;  ;  
C28;0.1_F;C;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6R3X14W104MV4T;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0.1µF;  ;  
C29;0.1_F;C;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6R3X14W104MV4T;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0.1µF;  ;  
C3;2.2_F;C;  ;  ;  ; 2.2µF;  ; Datasheet; https://api.kemet.com/component-edge/download/datasheet/T496B225M016ATE3K5.pdf; DigiKey Link; http://digikey.com/product-detail/en/kemet/T496B225M016ATE3K5/399-3917-1-ND/819242;  ;  ;  ; 1411 (3528 Metric);  ; 3.5Ohm; Fail Safe with Built-in Fuse; 0.083_ (2.10mm); 9/2/2020 1:15:46 AM;  ;  ; Active; 2000 Hrs @ 85°C;  ;  ; KEMET;  ; B; 1; Surface Mount;  ; -55°C ~ 125°C;  ; 1411 (3528 Metric); TapeAndReel; 12; T496B225M016ATE3K5; Active;  ; 0.51;  ;  ;  ;  ; T496; 0.138_ L x 0.110_ W (3.50mm x 2.80mm);  ;  ; DigiKey;  ; 399-3917-1-ND;  ;  ; ±20%; Molded; 2.2µF;  ; 16V
C31;0.1_F;C;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6R3X14W104MV4T;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0.1µF;  ;  
C32;0.1_F;C;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6R3X14W104MV4T;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0.1µF;  ;  
C34;0.1_F;C;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6R3X14W104MV4T;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0.1µF;  ;  
C4;2.2_F;C;  ;  ;  ; 2.2µF;  ; Datasheet; https://api.kemet.com/component-edge/download/datasheet/T496B225M016ATE3K5.pdf; DigiKey Link; http://digikey.com/product-detail/en/kemet/T496B225M016ATE3K5/399-3917-1-ND/819242;  ;  ;  ; 1411 (3528 Metric);  ; 3.5Ohm; Fail Safe with Built-in Fuse; 0.083_ (2.10mm); 9/2/2020 1:15:46 AM;  ;  ; Active; 2000 Hrs @ 85°C;  ;  ; KEMET;  ; B; 1; Surface Mount;  ; -55°C ~ 125°C;  ; 1411 (3528 Metric); TapeAndReel; 12; T496B225M016ATE3K5; Active;  ; 0.51;  ;  ;  ;  ; T496; 0.138_ L x 0.110_ W (3.50mm x 2.80mm);  ;  ; DigiKey;  ; 399-3917-1-ND;  ;  ; ±20%; Molded; 2.2µF;  ; 16V
C9;0.1_F;C;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6R3X14W104MV4T;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0.1µF;  ;  
J1;F305-1A7H1-11040-E100; ;  ; Unavailable;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; https://www.digikey.com/en/products/detail/amphenol-icc-fci/F305-1A7H1-11040-E100/11564644;  ;  ;  ;  ;  ;  ;  ;  ; Amphenol ICC (FCI); F305-1A7H1-11040-E100;  ;  ;  ;  ;  ;  ;  ; None;  ;  ;  ;  ;  ;  ; None;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; ;  ;  
P1;MHDR1X20; ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 17-Jul-2002; Re-released for DXP Platform.;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Altium Limited;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
R1;10_kOhms;R;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; CRCW060310K0FKEAHP;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 10 kOhms;  ;  
